,validated,accepted,committed, ,avg_accep,avg_comm
1167,10,22,84,,,
1168,10,21,80,,,
1169,11,23,83,,,
1170,10,23,83,,,
1171,10,22,82,,,
1172,9,21,105,,,
1173,11,744,847,,,
1174,10,21,82,,,
1175,10,22,75,,,
1176,10,21,85,,,
1177,11,24,86,,,
1178,11,23,85,,,
1179,11,23,83,,,
1180,10,22,128,,,
1181,11,22,107,,,
1182,9,21,81,,,
1183,10,21,83,,,
1184,9,21,80,,,
1185,13,25,118,,,
1186,10,21,110,,,
1187,11,1227,1329,,,
1188,10,22,85,,,
1189,10,46,131,,,
1190,9,22,84,,,
1191,9,21,83,,,
1192,14,227,327,,,
1193,10,21,81,,,
1194,9,20,120,,,
1195,8,20,253,,,
1196,10,22,85,,,
1197,14,364,468,,,
1198,10,22,630,,,
1199,11,23,108,,,
1200,11,22,82,,,
1201,10,23,121,,,
1202,10,21,82,,,
1203,10,22,84,,,
1204,9,21,82,,,
1205,12,24,113,,,
1206,11,23,115,,,
1207,11,1040,1148,,,
1208,10,22,85,,,
1209,9,21,82,,,
1210,10,22,84,,,
1211,11,23,84,,,
1212,10,21,125,,,
1213,11,23,83,,,
1214,9,20,104,,,
1215,10,22,125,,,
1216,11,24,85,,,
1217,11,25,91,,,
1218,11,23,88,,,
1219,11,23,107,,,
1220,11,23,83,,,
1221,9,22,86,,,
1222,10,23,134,,,
1223,9,20,103,,,
1224,10,22,106,,,
1225,11,23,84,,,
1226,10,22,83,,,
1227,9,21,110,,,
